Supplier ID,Shape,Weight,Color,Clarity,Total Price,Lot Number,Stock Number,Lab,Cert #,Certificate Image,2nd Image,Dimension,Depth %,Table %,Crown Angle,Crown %,Pavilion Angle,Pavilion %,Girdle Thinnest,Girdle Thickest,Girdle %,Culet Size,Culet Condition,Polish,Symmetry,Fluor Color,Fluor Intensity,Enhancements,Remarks,Availability,Is Active,FC-Main Body,FC- Intensity,FC- Overtone,Matched Pair,Separable,Matching Stock #,Pavilion,Syndication,Cut Grade,External Url,Lab Grown/Natural
89782,Old Miner,5.01,I,VS2,94188.00,,A103059721,GIA,2233772282,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=33623293863&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=33623293864&PhysicalType=MAIN,11.75|8.71|5.99,68.70,64.00,,,,,Thick,Extremely Thick,,Slightly Large,,Excellent,Very Good,,None,,"Antique Elongated Cushion; I+++; VS2+++; AMAZING Spread; Faces Like H; MUST SEE DIAMOND!",On Memo,Y,,,,False,True,,,,,https://dia-vid.s3.us-east-2.amazonaws.com/1B3799F8-C801-4C26-BF9E-398F770EEA6B+(8).mp4,NATURAL
89782,Emerald,5.16,J,VVS2,66009.30,,A1033326,GIA,6462659328,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=31554997685&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=31918039444&PhysicalType=MAIN,11.62|8.29|5.56,67.00,67.00,,,,,Thick,,,None,,Excellent,Excellent,,None,,"J+++; NO BLK; AMAZING MAKE!!",On Memo,Y,,,,False,True,,,,,https://fileoncloud.in/Upload/120751.html,NATURAL
89782,Emerald,2.70,E,VS2,31995.00,,A1034802,GIA,6495408691,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32414894574&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32417390492&PhysicalType=MAIN,9.26|6.59|4.53,68.80,64.00,,,,,Thick,Very Thick,,None,,Excellent,Excellent,,None,,"VS2++; 100% I CLN; No Blk; Amazing Make!",On Memo,Y,,,,False,True,,,,,https://www.filesonsky.com/v360/Vision360.HTML?d=657244,NATURAL
89782,Round,2.50,F,SI1,23370.00,,A1051724,GIA,2526716006,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=33597559139&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=33606541464&PhysicalType=MAIN,8.62|8.64|5.43,62.80,55.00,35.00,16.00,40.80,43.00,Medium,Slightly Thick,,None,,Excellent,Excellent,Blue,Medium,,"",On Memo,Y,,,,False,True,,,,Excellent,https://www.filesonsky.com/v360/Vision360.HTML?d=670761,NATURAL
89782,Round,2.50,F,SI1,23370.00,,A1051724,GIA,2526716006,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=33597559139&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=33606541464&PhysicalType=MAIN,8.62|8.64|5.43,62.80,55.00,35.00,16.00,40.80,43.00,Medium,Slightly Thick,,None,,Excellent,Excellent,Blue,Medium,,"",On Memo,Y,,,,False,True,,,,Excellent,https://www.filesonsky.com/v360/Vision360.HTML?d=670761,NATURAL
89782,Oval,2.03,E,SI2,12667.20,,A1056424,GIA,1525885242,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=33597559135&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=33606541467&PhysicalType=MAIN,10.45|6.98|4.44,63.70,56.00,,,,,Slightly Thick,Thick,,None,,Excellent,Excellent,Blue,Medium,,"FloNoSho; SI2+; 100% I CLN; Tbl Mostly Cln; Nice Spread; Amazing Budgeted Stone!",On Memo,Y,,,,False,True,,,,,https://www.filesonsky.com/v360/Vision360.HTML?d=670704,NATURAL
89782,Radiant,2.50,E,SI1,28125.00,,A1058002,GIA,6501025018,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32414894571&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32670844116&PhysicalType=MAIN,9.79|6.49|4.5,69.40,66.00,,,,,Thick,,,None,,Excellent,Excellent,,Faint,,"SI1+++; 100% I CLN; BIG LOOK Like 3ct!!!; Amazing Stone!",Guaranteed Available,Y,,,,False,True,,,,,https://www.filesonsky.com/v360/Vision360.HTML?d=628331,NATURAL
89782,Oval,2.01,D,SI1,19537.20,,A1060424,GIA,2536035394,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=33597559138&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=33606541465&PhysicalType=MAIN,10.48|7.07|4.35,61.50,62.00,,,,,Very Thin,Slightly Thick,,None,,Excellent,Excellent,,None,,"SI1+++ LIKE VS2; 100% I CLN; Tbl Cln; No Blk; GREAT Spread; Amazing Stone",Guaranteed Available,Y,,,,False,True,,,,,https://www.filesonsky.com/v360/Vision360.HTML?d=670771,NATURAL
89782,Radiant,2.52,J,SI2,14605.92,,A1064302,GIA,7502284934,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32414894580&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32417390496&PhysicalType=MAIN,9.46|6.76|4.68,69.30,66.00,,,,,Very Thick,,,None,,Excellent,Excellent,,None,,"SI2+; 100% I CLN; No Blk; Light White Twinning; Beautiful Stone!",On Memo,Y,,,,False,True,,,,,https://www.filesonsky.com/v360/Vision360.HTML?d=661565,NATURAL
89782,Oval,1.51,J,SI2,4119.28,,A1064323,GIA,6452140709,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32467418287&PhysicalType=MAIN,http://www.polygon.net/content-attachment.mgmt-view.versioned.attachment-en.jsa?VersionId=32469218009&PhysicalType=MAIN,9.31|6.38|4.05,63.40,57.00,,,,,Slightly Thick,Thick,,None,,Excellent,Very Good,Blue,Strong,,"FloNoShow; J++; SI2++; Table Clean; No Blk; 100% I CLN; NO BT; AMAZING MAKE!; Faces White",Guaranteed Available,Y,,,,False,True,,,,,https://fileoncloud.in/Upload/120643.html,NATURAL
